Medicine,Condition,Review
Exenatide,"Diabetes, Type 2","""Just had my second injection of Bydureon. First one went fine-just little bits of nausea. The second one was two days ago. Last night I woke up sick as a dog with horrible vomiting and diarrhea. I&#039;ve been ill for hours and am now missing work. That makes me unhappy.  Guessing it&#039;s the Bydureon but maybe stomach virus. Will check in with my dr today. Byetta I could not tolerate at all. I&#039;m wondering if this one is the same."""
Bydureon,"Diabetes, Type 2","""Had beautiful results on a different once-weekly but insurance company decided I needed to be shaken around, I guess, and will only cover Bydureon. Not nice. But I&#039;m here looking for some encouragement that it will get better with time. Just started 3rd week and experiencing the following:
Spiking sugars around 300, Elevated morning sugars 180-200, Unearthly hunger - all day. Feeling low sugar symptoms (hunger, shakes, sweats, vision disturbances) but readings of 170-180, Weight gain.

No problems with injections or injection sites as I was told to expect. But the constant low sugar sensations is turning me into a recluse as I can&#039;t drive myself anywhere and I am very reluctant to go for walks or engage in any increased exercise."""
Exenatide,"Diabetes, Type 2","""I have been taking bydureon for the 7 weeks.  At first I was very hesitatant to use a needle for self injection.  I&#039;ve gotten over the fear and now this is what I can say.  On weight lost I have dropped some 13lbs over the 7 weeks.  It has really curbed my desire to eat food.  I&#039;m still waiting for the medicine to start to work and see lower blood sugar ratings.  I have one more 4 pack to go and then off to check A1C.

Side effects; the bumps have shown up and I have two of them.  I&#039;m hoping they go away as estimated in the next month or so.  I seem to burp a lot and I don&#039;t know if anyone experienced this but for the first couple of weeks I had very little energy in the evening.

 So I&#039;ll update when I get my results in 5 weeks."""
Liraglutide,"Diabetes, Type 2","""Have lost 53 lbs since 9-12.  Now having bad stomach cramps hope it is not the Victoza.  Will find out Monday.  Still have some nausea and vomit occasionally, but is my own fault for eating too much. I drink only water with meals to avoid filling up with the gas from sodas.  Take 1.8.  It works for me.  Am also a Type 2 and take 1000mg metformin each day."""
Metformin,"Diabetes, Type 2","""Today is my day 10, severe diarrhea started on day 2. Bad in the morning and late evening, yesterday I started with the metallic taste in my mouth. I hope it passes. My dose is 500 mg twie a day. As far as side effects go, not too bad."""
Liraglutide,"Diabetes, Type 2","""Been on Victoza since August. Nausea first 2 or 3 weeks, that has ended. Have lost 12 lbs and morning blood sugars are approx 120. Has tremendously minimized appetite. Now I eat to live instead of living to eat. Waiting for bigger and better things (more weight loss and coming off all other medicines). Read before to eat bread or crackers for the eggy taste or breath...it absorbs the acid in the stomach. Good information for me."""
Janumet,"Diabetes, Type 2","""This medicine had bad side effect for me. I have been on this Janumet 50/1000 mg for over one year now. I was taking it one time a day.  It make me dizzy, nausea, vomiting after every meal, or whenever I ate something and night sweat. I used to weigh 230 lbs. at 5&#039;10&quot; wearing size 16 clothes. Now I weigh 175 lbs. wearing size 12 clothes. I had to get all new clothes. In one week I can lose 10 to 15 lbs. and still losing because I can not keep my food down.the Dr has me to come for followup appointment every 4 months. I informed my Dr. of the problem. He was amazed to see the weigh lose. I had aged 20 years. My hair had fell out. My skin was scaly not moisture and smooth.  He told me instead of taking the Janumet everyday, take it every other day."""
Exenatide,"Diabetes, Type 2","""I am on my 2nd week of using this medication. I am taking it for insulin resistance and noticed a difference very quickly as far as appetite and hunger.  The first day after my first shot I did not eat as much at each meal and did not feel as ravenously hungry between meals.  It&#039;s been a week and a half and I&#039;ve already dropped 6 lbs.  The needle is a little big but the weight loss is worth it.  I do have the itching around the injection site - about the size of a quarter and feels like a mosquito bite.  Hoping this diminishes..... but it&#039;s the only really bothersome thing I&#039;ve noticed so far. No nausea (which was terrible with Victoza) and nothing else of note.  Hoping this (and the weight loss) continues."""
Victoza,"Diabetes, Type 2","""(2/2) from 0.6 to 1.2 I know my digestive system has slowed way down My doctor prescribed Metonia and Domperidone to counteract these side effects which seems to be working for me  I also notice my appetite has continued to be low and I get full very quickly my blood sugar stabilized with 3-4 day after starting the Victoza and despite the side effects I am happy with this medication but hope not to be on it long term as I worry about long term side effects I would recommend this"""
Metformin,"Diabetes, Type 2","""Been taking Metformin for type 2 diabetes for more than 10 years.  Over the last five years my memory has gotten so bad that I almost can&#039;t function at work, I am dizzy, anxious, cold, and often confused.  My doctor said it was not due to the Metformin.  I lowered my dose myself and the coldness stopped and other symptoms improved slightly.  A year later they were even worse.  I cut my pills in half to reduce my dose again, and most of the symptoms went away.  Now that I have been on this reduced dose a while, the symptoms are slowly coming back.  I won&#039;t be taking Metformin any more.  It is a terrible way to live not ring able to remember what someone just said to you, where you left off counting, or how to get to the store.  I am only 44."""
Trulicity,"Diabetes, Type 2","""The first week I started trulicity I was very nauseous! I take xigduo and truly city. I really didn&#039;t want to eat, it made me thirsty, I was drinking plenty of water. The only side effect I had was the nausea, it felt like when was pregnant but after the first week it stopped. I&#039;ve lost 15 healthy pounds in 3 weeks with dieting and exercise. I recently became sick (unrelated to the medications) and had to stop taking my xigduo due IV contrast for the next two days, well my blood sugar numbers are still below 120 with trulicity alone. It&#039;s been working good for me."""
Liraglutide,"Diabetes, Type 2","""Started Victoza 3 weeks ago, have had some muscle discomfort in my back, nothing major. What I have had that is major is a 15 pound weight loss bringing me down to the weight I was in College and blood sugars in the 90s to 140s. My 14 day average is down to 112 from 195, 6 months ago. This medicine works! Now if I can just get my insurance company to cover it. After all it is saving them money on all the other drugs I was taking as well as helping me be healthier."""
Metformin,"Diabetes, Type 2","""I just started metformin 16 days ago. Explosive bowel motion probably most accurately describes my initial experience. It already seems to be getting better. I&#039;ve lost 21 lbs, 233 to 212, in the past 16 days. My blood sugar went from 300&#039;s to 90&#039;s."""
Trulicity,"Diabetes, Type 2","""This is week 4 for me and I am wondering why I am continuing to take this medicine.  Yes it helps me loose weight but is not enough to keep my sugar levels down long.  Seams to wear off after a few days I have to take my other daily Lantus shot to keep my sugar levels down.  Also don&#039;t like the feeling when I combine the two, feel weak, fatigue, tingly   Looking for a new Endo Doc.  Do not feel this is the right solution for me.  I do not like the unknown side effects of trulicity.  I will take this until I find a new Doctor.  Motivating me to loose weight on my own, with proper eating and exercise.  I will be off this soon.. Lantis seems to do the job,  I don&#039;t understand why the Endo put me on this, other than wanted me as ginny pig?"""
Farxiga,"Diabetes, Type 2","""Didn&#039;t bring hb1c level to required level but lost 4 stones in weight felt really well"""
Glipizide,"Diabetes, Type 2","""It worked extremely well for me. It lowers my blood sugar level fast. My doctor changed me to Janumet and Starlix and they are not doing the job. I am going to request that I return to Glucotrol."""
Kombiglyze XR,"Diabetes, Type 2","""Dr. put me on this and within 3 months my A1c went from 6 to 8.6.  Continued for 6 more months and blood sugars are high."""
Afrezza,"Diabetes, Type 1","""I tried the Afrezza system out thinking it was going to be great with how fast it works, not having to inject anymore, and not having lows (quotes from the sales person). How all of those points are so wrong. The product is awful. I had to inhale twice per meal ( which means I had to check my blood sugar more often) 2 hours apart. Plus I still had to inject for my long acting insulin. Also before I did my second inhale my BG&#039;s would be in the low 40&#039;s 2 hours after I ate, and then 1 hour later my Bg&#039;s were up in the 300s, since the insulin stays in your body for only 2 hours. My A1C before using it was 6.2 and after 1 month of using Afrezza (not Humilog) went up to 6.7. I highly don&#039;t recommend using this product."""
Dulaglutide,"Diabetes, Type 2","""I&#039;ve been on this medication for 2 weeks now ,I do get nausea ,my eye sight is very blurry, I&#039;m always tired my  sugar levels are normal ,I also get lots off random pain in my feet this medicine is totally horrible I won&#039;t be taking it anymore !!!"""
Sitagliptin,"Diabetes, Type 2","""I have been on Januvia for 6 months. My sugar levels are great. No side effects. It makes me feel not hungry. I was taking Amaryl once a day and metformin twice a day, plus Diovan for blood pressure. Now I am only on Januvia. I started going to the gym and eating healthier, I now have lost 60 lbs. Personally it is the best medicine I have found."""
Victoza,"Diabetes, Type 2","""Well I have been on Victoza for 6 weeks and estimate a weight loss of about 20 pounds maybe a little less.  I did not even know this was really for weight loss and that was why the doctor gave it to me.  But hey its working.  I don&#039;t have a goal except to wear a pair of Men Speedo Bikini Swim suit.   I know sounds funny but If I can get to 250 and with my height I will look good in them.  My trip to Asia with the wife is in November so wish me luck.  Oh and it is helping my A1C"""
Bydureon,"Diabetes, Type 2","""Blood sugar went from HbA1c of 10.5 to 7.5. And lost weight.  The previous medicine I was on caused me to gain 25 lbs, which I lost on this."""
Canagliflozin,"Diabetes, Type 2","""I&#039;ve been taking Invokana for 11 months.  Started on 100mg for three weeks then increased to 300 mg daily.  My Hgb A1C has gone from 9.6 to 7.1 and my weight has decreased 70 pounds.  I&#039;ve decreased my insulin Humulog 75/25 by 80% and decreased my Metformin by 25%.  Still tapering these.  I&#039;ve gone down three clothing sizes, even my shoes are too big!  I have had one yeast infection and do use the bathroom more often, but it is worth it!"""
Byetta,"Diabetes, Type 2","""I started using  Byetta 5 months ago and so far it has been the most amazing experience I have ever had before Byetta I was always so tired and not motivated at all to exercise and take care of myself. I was on Actos and I strongly believe that drug was slowly killing me. I have only lost a couple of pounds so far but everything else seems to be in control and I feel like a totally new person. After this pen is finished I move up to 10 and I really hope I don&#039;t get any of the side effects because the 5 has been wonderful but if I do get the side effects I will go back to the 5 and enjoy life again. Thanks Byetta"""
Canagliflozin,"Diabetes, Type 2","""Been on Invokana since August 20, 2013. I&#039;ve lost 36 pounds since then &amp; been able to discontinue taking my glimepiride (within 3 days of starting the Invokana), cut my metformin in half to 1000mg in the morning only, &amp; have begun cutting the insulin from 30 units at bedtime to 20 or less. I still take Victoza in the morning. My A1c has gone from 10.2 to 7.6 and my triglycerides are near the top of the normal range. I have tried Bydureon &amp; Byetta, but Invokana has been the first real successful medicine to help get my diabetes under control. Along with healthy eating choices &amp; exercise, I am under 300lbs for the first time in too many years to count. If I can do this, so can you!"""
Dulaglutide,"Diabetes, Type 2","""Why is this medication even approved to give to anyone?!  Oh yah, so the drug companies can get rich.  1 dose of this medication, I had severe diarrhea, vomiting for a week!  STAY AWAY FROM THIS MEDICATION. Doctor does not care about side effects.  Uuuuuuuuggggg!"""
Exenatide,"Diabetes, Type 2","""I have taken this medication 4 times. I am definitely eating more than I did on Trulicity or Victoza. I am afraid to look at the scale. I crave sugar. Does this happen to anyone else? Does this change? I am nervous I will put back on all the weight I lost in the past 7 months. I do not have the terrible heartburn that I had on Trulicity though."""
Dulaglutide,"Diabetes, Type 2","""I have been using the Trulicity pen for 5 weeks now and can honestly say it is amazing. It is not a magic bullet or anything like that, but with my determination to eat properly, drink plenty of water, exercise and just simply &quot;do it!&quot;... things are steadily improving. Starting with an 8+ a1c, I am now in the 6 range! And I have lost about 8 pounds in the last 5 weeks. At the age of 67 I have made this the top priority.... time&#039;s awasting.... got grandchildren to see grow and develop!"""
"Insulin inhalation, rapid acting","Diabetes, Type 1","""Amazing results with Afrezza and Toujeo. Truly next generation insulin therapy is here. Thanks Sanofi!!!"""
Trulicity,"Diabetes, Type 2","""I&#039;ve been on Trulicity for 5 or 6 weeks now. It definitely decreases my appetite. The verdict is still out on my blood sugars. I have unpredictable retching. It just occurs out of the blue almost on a daily basis. Sometimes there is a tiny bit of nausea, sometimes no nausea at all. The retching leads to vomiting about 25% of the time. I&#039;m not sure if I&#039;ll stay on it or not. It depends on if this retching gets better."""
Metformin,"Diabetes, Type 2","""I was diagnosed wit D@ and also I take Thyroxin. Since being on Metformin, I am sleeping better. More ravenous and eating more. Waking up with painful priapism which I haven&#039;t had for many a year and lots of gas. """
Bydureon,"Diabetes, Type 2","""Few years ago started with Trulicity, then insurance made me switch to Tanzeum and now had to switch to Bydureon. Couple of issues. The corkscrew on my second box. When I twist the green I hear the click and the medicine window only has part of the liquid the base has pushed out some of the medicine into the cap. I take off the needle cap and there is liquid in the cap, at 125 a pen. So, either I have a bad box of 4 or there is defect on these, did not happen on box 1 but on box 2 the first 2 pens had this. First and second day side effects for me are horrendous, nausea and just feel awful. Never had these issues with prep or side effects with either Trulicity or Tanzeum. But its all up to insurance companies at the end, they decide what is best for you."""
Trulicity,"Diabetes, Type 2","""I have been on Trulicity for 3 weeks and I love it. My blood fasting readings have dropped from an average of 205 to an average of 147. With my Tufts insurance, 4 pens had a co-pay of $30.I have had no side effects at all."""
Dapagliflozin,"Diabetes, Type 2","""Started the med last week Friday and started itching from head to toe. Not too bad the itching but uncomfortable while sleeping. By morning it subsides  a bit and back again when I take the medication at night.
Has anyone  experienced the same itch.  Thinking of stopping  the med."""
Victoza,"Diabetes, Type 2","""I started this on Thursday December 12th on 0.6. I am supposed to see how it goes for a week and than increase the dosage to 1.2. The doctor warned me of suppressed appetite and stomach pain/cramps. I feel both but the stomach pain is odd. It&#039;s more like I feel like my stomach has been filled with something and is trying to burst out. It is temporary discomfort though. I am set to increase the dosage on 12/19. I am also on Glumetza two 1000mg tablets a day and 1 Glimeride a day. Just from the first day of taking it my numbers went from nearly 400 to 182. I am hoping it gets lower as I&#039;m totally cutting out carbs. I do take cinnamon pills and drink a shot of Nopal juice in addition."""
Sitagliptin,"Diabetes, Type 2","""Been taking this pill for 7 months and no change in blood sugar tests."""
Victoza,"Diabetes, Type 2","""Started with .6 about 6 months ago. Nausea, dizziness,  heartburn and loss of appetite. Not pleasant .
Blood sugars did not seem to improve - questioned if stress due to symptoms was counteracting each other. (Stress raises glucose).
Decided to give the drug it&#039;s best shot so after two week increased the dosing to maximum. (1.8).
Slowly symptoms subsided and post meal glucose came down. Down substantially.
Fasting still remains around 130 to 140 but that also is improved. Post meal about 140 if I eat a proper diet.
While I would have preferred a greater reduction in numbers the drug is beneficial. Side effects are now all gone.
I&#039;m 64."""
Victoza,"Diabetes, Type 2","""My diabetes was out of control (300&#039;s), my Dr. put me on Victoza and I have never had such good readings. I have lost 5 pounds. The medicine sort of makes me feel full or a little nausea, but nothing bad at all. I&#039;m so happy with it and so excited with the results. Thanks Victoza"""
Bydureon,"Diabetes, Type 2","""update: Been on med since feb 8, 2013. see my other entry for details. because I was not getting good results, I went on paleo diet &amp; brought a1c down in 3 months. I stopped being so strict &amp; a1c was 6.7 last Nov. Holiday eating &amp; not eating paleo (it is hard to go to grocery 2-3x a week!) have caused me to have way higher numbers 200-400 on daily meter. I&#039;m sure my a1c is back up to almost 8 again. I also gained back the weight that I lost on paleo diet. Bydureon has not helped me to lose weight. Even after a year, I still get intense cravings for sweets every now and again. Due to see dr. in a couple of months. We will re-evaluate. Think I could drop a1c just by paleo diet alone."""
Lantus Solostar,"Diabetes, Type 2","""Insulin works fine just have trouble with pen.  Always pain and pen jammed once.  I use another brand of pen with no problems.  Went over how to use video.   I thought I was doing something wrong.  But was not.   Don&#039;t know why I get pain from this."""
Glimepiride,"Diabetes, Type 2","""I have stomach pain - does it go away? So far it&#039;s been helping me.  I&#039;ve been on for 2 weeks but I can&#039;t take the pain."""
Victoza,"Diabetes, Type 2","""Been using Victoza for 1 month, down 25lbs.
Was nauseous at first but got Zofran, took with the shot, works great."""
Trulicity,"Diabetes, Type 2","""I&#039;ve only taken 1 dose and very reluctantly. The first injection seemed to have no side  or few side effects. Before I tried this I was on bydureon had 4 injections. It truly was a nightmare. Nausea  and horrible, bad diarrhea. Once I figured out it was the bydureon. I stopped it
 I&#039;m praying the trulicity works"""
Tresiba,"Diabetes, Type 1","""I&#039;ve been a Type I diabetic for 14 years and just recently (within the past month) made the switch from Lantus to Tresiba. I have had constant headaches in the afternoons since switching and today is the second time the pen has just stopped working. I will be partially through the injection when the pen stops dispersing the insulin - you can press on the plunger but nothing comes out and the numbers do not go down. Not having insulin when your life depends on it is the scariest feeling in the world."""
Bydureon,"Diabetes, Type 2","""I have been taking bydureon for the 7 weeks.  At first I was very hesitatant to use a needle for self injection.  I&#039;ve gotten over the fear and now this is what I can say.  On weight lost I have dropped some 13lbs over the 7 weeks.  It has really curbed my desire to eat food.  I&#039;m still waiting for the medicine to start to work and see lower blood sugar ratings.  I have one more 4 pack to go and then off to check A1C.

Side effects; the bumps have shown up and I have two of them.  I&#039;m hoping they go away as estimated in the next month or so.  I seem to burp a lot and I don&#039;t know if anyone experienced this but for the first couple of weeks I had very little energy in the evening.

 So I&#039;ll update when I get my results in 5 weeks."""
Liraglutide,"Diabetes, Type 2","""I have been on victoza for about a month and have lost 10lbs. No real problems don&#039;t eat much but I like it. Think about going up on it and see how that does."""
Empagliflozin,"Diabetes, Type 2","""Started it last week only took it for 2 days made me very ill stopped it after 2nd dose still poorly 10 days later glad to hear some people are having real benefit from it"""
Victoza,"Diabetes, Type 2","""I have been using Victoza for nearly 2 years and do not know how effective it has been. However my doctor tells me that it is helping.
My biggest gripe is the pen that is used to deliver the medication. It is the worst injectable tool, very hard to use, it sticks continuously making giving an injection a wrestling match!"""
Tradjenta,"Diabetes, Type 2","""No problems taking this product."""
Invokana,"Diabetes, Type 2","""I have been on Invokana 300 for two years. I have lost weight, my numbers have decreased. It was covered by my insurance - But now the state is no longer covereing Invokana on my insurance because I work for a government funded (Public School). I would like to continue on Invokana.But according to the pharmacy it will now cost me $1342.00 for a 90 day supply."""
Trulicity,"Diabetes, Type 2","""I have been on metformin for several years now. I take a 1000mg pill in the morning and one at night. My A1C was above 7. Six months ago my Dr. wanted  me to try Trulicity. I take one shot once a week. It didn&#039;t make me nauseous, I didn&#039;t have an upset stomach, burping vile odors, no side effects what-so-ever. I have noticed that I am dropping weight for no unknown reason though. I have not dieted or noticed a change in my appetite but have dropped (so far) about 24 lbs. I went yesterday for my 6 month checkup and my A1C is now down to a 5.8. I am thrilled! Not only have I lost weight without actually trying, but my diabetes is in normal range. I LOVE TRULICITY!❤️"""
Canagliflozin,"Diabetes, Type 2","""I&#039;ve been on this medicine for a little over 2 months, no bad side effect to report, unless you call loss of appetite and a loss of 20lbs bad. Blood pressure has lowered from 160/89 to 118/76."""
Invokana,"Diabetes, Type 2","""No side affects.
Lowers my A1C
Take it with Victoza. 
Do not have to use Humalog anymore.
Highly recommend it, but it is expensive, the only downfall, and when I first started taking it the places I went to get it filled said I was the very first person to use this."""
Amaryl,"Diabetes, Type 2","""After a year and a half of working hard at exercise and diet while taking Metformin and Actos I was not able to get my blood sugar down below 140 and it was more often between 170 and 200. I was changed to metformin and Amyril just this last weekend and after just two doses my sugars have been between 80 and 108, something I had started to lose hope could happen for me. I am so thrilled."""
Byetta,"Diabetes, Type 2","""I too am experiencing hair loss and want to know what to do about it.  I had been taking 5mcg of Byetta twice a day with only minimal side effects for about 3 months.  Then the specialist recommended increasing to 10mcg and that is when I noticed the severe hair loss.  I had been losing my hair before in small amounts but after taking 10mcg it started really falling out in great clusters.  Once I realized that it must be the Byetta I stopped taking 10mcg and have gone back to 5 but am still losing hair - not as much but still happening.  Does anybody know what I should try - I have read some other blogs and this has been great because now I know I am not alone.  I too have this dilemma - stop the Byetta and gain several stone or no hair?"""
Farxiga,"Diabetes, Type 2","""I&#039;m writing this from a hospital bed. Got a severe yeast infection within the first week, that turned into a worse infection.  I was almost septic, still won&#039;t know if I have to have surgery."""
Invokana,"Diabetes, Type 2","""It&#039;s this simple... Invokana was great at reducing my glucose and ultimately my A1C.  The problem I had was the extreme vaginal itching.  I told my doctor, my gynecologist and they constantly blamed my diabetes.  But I questioned how could that be if it was controlled.  I researched invokana realized that vaginal itching was a side effect and stopped using the invokana.  The itching started to subside then eventually went away all together.  The Doctor who prescribed it should have said something when I told her my symptoms.  She didn&#039;t even question my decision to stop using it."""
Trulicity,"Diabetes, Type 2","""Very very bad experience with this medicine. Within three days experienced severe nausea diarrhea and vomiting. I have been at home recovering for two days now. Going to call the doctor to get off this stuff!!!"""
Glipizide,"Diabetes, Type 2","""I was put on  Glipizide ER after having bad side effects from Metformin ER. Had the diarrhea with it.  Have had no problems with Glipizide."""
Bydureon,"Diabetes, Type 2","""Update I have been on bydureon for six months now and with diet and 40 minutes of exercise a day I have lost 64 lbs. This drug has been a great for me. I never thought I would ever take it off but I am. I only have 24 more lbs to go to be at my normal weight. I have had very  minimal side effects. If you are taking this for diabetes take advantage of what can happen with diet and exercise."""
Canagliflozin,"Diabetes, Type 2","""This med is amazing!! Absolutely best medication developed! Was at 11 on HBA1C on Metformin and Glimepiride. Invokana was added and amazing I&#039;ve run consistently at 7.0!! Now I take 2,000 mg Metformin, 1,000 mg BID. And Glimepiride 4 mg a day with Invokana increasing to 300 a day. If you&#039;ve got problems why delay any longer? Insist on Invokana immediately! To the guy that says he had general malaise and fatigue, I&#039;d get your CBC checked. Very doubtful it&#039;s from Invokana."""
Victoza,"Diabetes, Type 2","""I have been on victoza since Feb 15 2017. I have had barely any side effects and have lost 30 lbs. The medicine does not work by its self I take the 1.8 dose and I eat low carb and low sugar. I also have fibromialgia and Hashimotos. I go thru the patient assistance program to get my victoza."""
Victoza,"Diabetes, Type 2","""I started using Victoza almost a year ago, but before I started it my blood sugar was out of control. It went up to 400&#039;s and I let it stay there because I was losing weight with it that high. Lost about 15 lbs that way, then went on Victoza and lost another 45 lbs. my sugar levels were perfect. """
Liraglutide,"Diabetes, Type 2","""Like many, I was frustrated with the medication options for type II Diabetes.  My doctor had me on Actos and Glipizide which I gained 70 pounds in one year!  I tried Byetta however was so sick on it, I couldn&#039;t continue.  I also was concerned about developed issues possibly due to Actos i.e.  shortness of breath and edema in legs.  This even concerned my doctor.  The weight gain was hurting me getting better and only made things worse and the most concerning part was my blood sugar was running around 200.  My third day on Victoza and my blood sugar is already in normal range!  Yes, 109! The first time in over 9 months.  I have not had any side effects and will hopefully lose weight."""
Metformin,"Diabetes, Type 2","""I was found to have type 2 diabetes early in pregnancy. I was previously on a low carb diet that had worked well for me but was advised by my diabetes clinic to increase carbs and whole grains because it would benefit the baby. As soon as I began eating bread, rice and pasta I began to swell up and started having headaches. I was given a glucose test which was very high and my Doctor was preparing to put me on insulin. I was convinced that it was the high intake of sugar (carbs) that had got me into this situation so asked for a week to try and sort it out myself. I cut down on carbs and I improved within 2 days. I now take Metformin 500mg twice daily but cannot eat bread, sugar, white rice or white flour."""
Trulicity,"Diabetes, Type 2","""I gave my first shot of trulicity .75
Last Wednesday evening.  By Friday I was absolutely sick to my stomach, accompanied by nausea. Finally took nausea medication whiched helped. But later threw up. I have had severe diarrhea any time I eat something. Burping all day and Sunday I could barely get out of bed my energy was not there and my body ached. Unfortunately my 2 kids don&#039;t understand so up and out of house I went to buy a Gatorade and I actually felt better after drinking a little. I&#039;m afraid to take my dose tomorrow cause im not sure I can deal with another week of these side effects... But they said to keep with it and your body will adjust.. any advice if this is true?"""
Glucophage,"Diabetes, Type 2","""My husband and I are both on this medicine.  He takes 1000 mg morning and evening. I take the max at 850 mg each meal.  We have to keep a packet of desiccant in the bottle to absorb the horrible fishy smell.  We both have the side effect, even years later, of bloating, gas, and flatulence.  We call this pill our &quot;gas&quot; medication.  But it lowers our blood sugar with few other side effects.  If we&#039;re out, we take it on our return home if possible to prevent inflicting our flatulence on others."""
Linagliptin,"Diabetes, Type 2","""Interesting results which vary from day to day. Have had higher than usual blood sugar readings on some days. Have taken Tradjenta only 3 weeks. Deleted almost all carbs from diet and had better blood sugar results.  124 vs. 143 upon rising.  Also eat an earlier dinner, and no snacking after dinner. Resulted in 124 reading in morning. Will take for a month and decide if I will continue."""
Canagliflozin,"Diabetes, Type 2","""Started taking Invokana a little over a year ago.  Started noticing a lot of hair loss then I Googled it and found this site which was helpful.  Went to my internist and she Googled it and found the same articles and comments. Took me off it and I switched to Jardiance.  Within 3 months I switched back to Invokana.  My A1C and daily numbers improved greatly.  I&#039;ve lost 15 pounds.  I already exercised and watched my diet.  Have been Type II for 12 years which is from my dad&#039;s side of the family, we all have it.  I&#039;ve chosen to live with the hair loss which seems to run in cycles.  Hard for a gal that had full chemo and has lost all of her hair previously. It looks like this drug will either really work for you or it&#039;s not for you at all."""
Bydureon,"Diabetes, Type 2","""I am back to update my time on Bydureon. It has been going pretty good. My sugars were really going down I suffered a few lows 40 to 50s so Dr. dropped Januvia and Actos then my sugars started going up. It&#039;s been a rough two weeks but hopefully they will level out. My appetite has gone down a lot and looks like I am finally losing some weight."""
Liraglutide,"Diabetes, Type 2","""I am going into my 4th month. The first 3 months I was only on .6 injection and had a monster sinus infection, huge doses of antibiotics and prednisone during the first 2 months...not Victoza related. The prednisone reqired me to up my dose to 1.2 to keep my blood sugar levels below 100nd stable. I lost a few pounds at the beginning, but I was seriously monitoring calorie intake so not sure that it was Victoza related. Like another rater, I get nauseated if I eat greasy foods...I am learning what the triggers are for that and just don&#039;t eat them. I am also Celiac so a touchy gut is not foreign. Plain, healthy foods are much more appealing. I have lost 18.5 lbs over the last 4 months. 5 of those pounds in the last two weeks...I am happy"""
Insulin aspart / insulin degludec,"Diabetes, Type 2","""I had to get rescued  from hypogycemia after using Ryzodeg insulin.  I see it is a  side effects"""
Glipizide,"Diabetes, Type 2","""Type 2 since 2008 and started on metformin with great results. Over the years the metformin has been progressively increased to the max dose to maintain my A1c at &lt;7. Metformin has now lost its effect and my last A1c was 10.1. Doctor discontinued the metformin and started Januvia 100 mg and Glucotrol xl 2.5 mg, gradually increasing to 20 mg/day. Nothing! The new combo has had absolutely no effect on my blood glucose levels. My FBS are &gt;170 every morning and 2 hr PP around 240! My next drug is the non-insulin injectable, Victoza. I so wish it could be different."""
Actos,"Diabetes, Type 2","""Worked well at first. Now I get 200 plus readings when I wake up."""
Empagliflozin,"Diabetes, Type 2","""Worked at first reducing need for insulin.  However, never lost any weight. Started to have terrible pain in joints and back. I think there is some temporary worsening as I have quit it now."""
Bydureon,"Diabetes, Type 2","""I took Bydureon for a little over 4 months. The results were disastrous. My A1c went up over 2 points, I had constant hunger, I was tired more than normal. It was extremely expensive. I had Pea sized lumps and red spots at the injection sites. I felt like I got some bad advice."""
Liraglutide,"Diabetes, Type 2","""Have been on Victoza for 1 1/2 months. Have lost about 10 lbs which is good for me. BS is great now I am at 1.2mg.  My only real complaint is that I get very sleepy about 2 hours after the injection. Have mild constipation and occasional nausea after 2 weeks. Initially had bad nausea. I am real pleased with how it is working for me so far."""
Canagliflozin,"Diabetes, Type 2","""I&#039;m a Type 1 diabetic , I been on invokana for almost a year . Going back and forth taking the pill . It does work great keeping my sugars low , I have not seen weight changes and also every time I take the pill no matter how much water I drink I&#039;m constantly getting yeast infections ! So I stop talking it after a few months decided previously to take it again after my doctor told me to go back . So I went back and now I have yet another Y.I. I guess I&#039;m prone to them on this pill. I am done with this pill"""
Albiglutide,"Diabetes, Type 2","""I started tanzeum in apr 2016. It has brought my numbers down somwehat but not nearly what it needs to be. I will find out in aug for sure if its really working. I usually have an upset stomach and loose stools 1-2 days after ive taken it. When i first started, i felt full pretty quick after i ate but thats kind of gone away. The jury for me is still out, not sure if this is the medication for me."""
Dapagliflozin,"Diabetes, Type 2","""Began taking Forxiga 10 mg/day in October 2015.  With determination of drinking 8 glasses of water a day, exercising 3 times a week (one hour) and eating more protein and salads at dinner I have lost 40lbs.  This medication is great but never fool yourself that medication on its own can make you loose weight."""
Liraglutide,"Diabetes, Type 2","""In the beginning  stomach aches and loss of appetite but now I&#039;ve got my eyesight back to normal, no longer thirsty and best of all, I&#039;ve lost weight, truly a win win situation."""
Trulicity,"Diabetes, Type 2","""After taking my 4th dose I had a stroke. After testing there was no clear reason for the stroke and trulicy was my only new medicine. I wouldn&#039;t take it until the risks of stroke from this med is determined"""
Byetta,"Diabetes, Type 2","""My a1c is in the normal range now, and I have lost 42 lbs. All my labs are great due to the weight loss. I have been on 10mcg for over 2 years. My last a1c was so good last time, my doctor wants me to decrease to 5mcg. I have been to several dermatologists over the last 2 years trying to figure out why I am having hair loss, unhealthy hair, and change in texture. I never wanted to attribute it to the Byetta although the hair loss started a few months after I began taking it. I am now so desperate to stop the hair loss, I&#039;m considering stopping the Byetta. I can&#039;t decide which would be worse - being bald or gaining back 42 pounds! I would really love to know if the person who recently posted had any hair regrowth after stopping Byetta."""
